mention_index,source_n,bibliography_entry,candidate_files,best_score,best_source_path,best_source_line,best_source_preview,context,verdict,reason
24,20,Chen et al. Decision Transformer: Reinforcement Learning via Sequence Modeling. DOI: 10.48550/arXiv.2106.01345. https://arxiv.org/abs/2106.01345,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_20_1_37573c9be9.txt | docs\thesis\sources\2106.01345v2.pdf,0.5638,docs\thesis\sources\2106.01345v2.pdf,1,td learning collapses decision transformer and bc still perform well indicating that decision transformer can be more robust to delayed rewards delayed sparse agnostic original dense dataset environment dt ours cql bc bc dt ours cql medium-expert hopper 107 3 3 5 9 0 59 9 102 6 107 6 111 0 medium hopper 60 7 4 5 5 2 63 9 65 9 67 6 58 0 medium-replay hopper 78 5 3 7 2 0 27 6 70 6 82 7 48 6 table 7 results for d4rl datasets with delayed sparse reward decision transformer dt and imitation learning ,"Таблиця 2.1. Матриця літературних і технічних напрямів Напрям Поза scope В роботі EPF / time-series forecasting SOTA за MAE/RMSE без LP/regret NBEATSx/TFT; downstream regret [15], [16], [11] Storage optimization Settlement/live dispatch LP schedule із SOC/power/efficiency [17], [18], [19] DFL / predict-then-optimize Full differentiable controller Regret/value як decision-quality criterion [12], [13], [14] Offline RL / DT DT/LAVA promotion/live policy Research-shadow sequence policy; деталізовано в constrained neural decision layer Constrained neural decision layer Raw transformer controller або bid engine HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates; DT framing підтримано [20], [21], а фактичний safe-switch result є repo/thesis evidence цієї роботи, не зовнішній published result Ukrainian market governance Inferred receipts/submission claims DAM/IDM hourly preview і source-readiness blockers [3], [4], [8]",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
25,21,Bhargava et al. When should we prefer Decision Transformers for Offline Reinforcement Learning? arXiv:2305.14550. https://arxiv.org/abs/2305.14550,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_21_1_f9ffc91868.txt | docs\thesis\sources\2305.14550v1-sequence-modeling-offline-rl.pdf,0.5699,docs\thesis\sources\2305.14550v1-sequence-modeling-offline-rl.pdf,1,of high-quality data was available but it could degrade with lower-quality data meanwhile the performance of dt never worsened with more data also bc performed best with 20-40 of high-quality data highlighting the importance of expert data for bc for full results refer to figure 9 in appendix g we used the robomimic benchmark which contains ph proficient human and mh multi-human sparse-reward datasets section 3 2 because the rewards are fixed and given at the end of trajectories the lengths of t,"Таблиця 2.1. Матриця літературних і технічних напрямів Напрям Поза scope В роботі EPF / time-series forecasting SOTA за MAE/RMSE без LP/regret NBEATSx/TFT; downstream regret [15], [16], [11] Storage optimization Settlement/live dispatch LP schedule із SOC/power/efficiency [17], [18], [19] DFL / predict-then-optimize Full differentiable controller Regret/value як decision-quality criterion [12], [13], [14] Offline RL / DT DT/LAVA promotion/live policy Research-shadow sequence policy; деталізовано в constrained neural decision layer Constrained neural decision layer Raw transformer controller або bid engine HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates; DT framing підтримано [20], [21], а фактичний safe-switch result є repo/thesis evidence цієї роботи, не зовнішній published result Ukrainian market governance Inferred receipts/submission claims DAM/IDM hourly preview і source-readiness blockers [3], [4], [8]",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
26,3,"NEURC. Resolution No. 621 of 23 April 2026 on price caps for the day-ahead, intraday, and balancing markets. https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku",analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_03_1_f73dff7176.txt,0.4525,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_03_1_f73dff7176.txt,1,на тец тес кгу аес стимулююче регулювання у сфері теплопостачання загальна інформація для споживачів і тке розрахунки обсягу заборгованості з різниці в тарифах ліцензування питання відповіді енергоефективність холодна вода споживачі розрахунки обсягу заборгованості з різниці в тарифах ліцензування питання відповіді моніторинг ринку електричної енергії оперативний моніторинг ринку електричної енергії розрахунок ціни рдн інформація щодо здійснення купівлі-продажу електричної енергії за двосторонні,"Таблиця 2.1. Матриця літературних і технічних напрямів Напрям Поза scope В роботі EPF / time-series forecasting SOTA за MAE/RMSE без LP/regret NBEATSx/TFT; downstream regret [15], [16], [11] Storage optimization Settlement/live dispatch LP schedule із SOC/power/efficiency [17], [18], [19] DFL / predict-then-optimize Full differentiable controller Regret/value як decision-quality criterion [12], [13], [14] Offline RL / DT DT/LAVA promotion/live policy Research-shadow sequence policy; деталізовано в constrained neural decision layer Constrained neural decision layer Raw transformer controller або bid engine HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates; DT framing підтримано [20], [21], а фактичний safe-switch result є repo/thesis evidence цієї роботи, не зовнішній published result Ukrainian market governance Inferred receipts/submission claims DAM/IDM hourly preview і source-readiness blockers [3], [4], [8]",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
27,4,JSC Market Operator. The Market Operator tariff for 2026 amounts to UAH 6.88 per MWh. https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_04_1_6a87e28324.txt,0.4344,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_04_1_6a87e28324.txt,1,market operator market data dam results idm results hourly buying and selling prices of electricity dam indexes and average weighted prices reviews dam idm analysis statistical data for market participants regulations bidding on dam idm remit trades on ba guarantees of origin analytical services bess acsk ree about us about us news leadership official documents information for shareholders and stakeholders anti corruption compliance gender policy social responsibility international quality stand,"Таблиця 2.1. Матриця літературних і технічних напрямів Напрям Поза scope В роботі EPF / time-series forecasting SOTA за MAE/RMSE без LP/regret NBEATSx/TFT; downstream regret [15], [16], [11] Storage optimization Settlement/live dispatch LP schedule із SOC/power/efficiency [17], [18], [19] DFL / predict-then-optimize Full differentiable controller Regret/value як decision-quality criterion [12], [13], [14] Offline RL / DT DT/LAVA promotion/live policy Research-shadow sequence policy; деталізовано в constrained neural decision layer Constrained neural decision layer Raw transformer controller або bid engine HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates; DT framing підтримано [20], [21], а фактичний safe-switch result є repo/thesis evidence цієї роботи, не зовнішній published result Ukrainian market governance Inferred receipts/submission claims DAM/IDM hourly preview і source-readiness blockers [3], [4], [8]",needs-human,"low semantic match; broad/governance citation, landing page, or incomplete full text"
28,8,ACER. ACER will decide on the electricity market coupling integration plan for the Energy Community. https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_08_1_8a2a2b888b.txt,0.4691,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_08_1_8a2a2b888b.txt,1,resource adequacy assessment national resource adequacy assessments risk preparedness monitoring security of energy supply flexibility operation codes operation codes emergency and restoration system operation monitoring stakeholders' involvement history cybersecurity tcms implementation monitoring tcms implementation monitoring capacity allocation and congestion management electricity balancing forward capacity allocation system operation gas about gas decarbonisation of gas decarbonisation of ,"Таблиця 2.1. Матриця літературних і технічних напрямів Напрям Поза scope В роботі EPF / time-series forecasting SOTA за MAE/RMSE без LP/regret NBEATSx/TFT; downstream regret [15], [16], [11] Storage optimization Settlement/live dispatch LP schedule із SOC/power/efficiency [17], [18], [19] DFL / predict-then-optimize Full differentiable controller Regret/value як decision-quality criterion [12], [13], [14] Offline RL / DT DT/LAVA promotion/live policy Research-shadow sequence policy; деталізовано в constrained neural decision layer Constrained neural decision layer Raw transformer controller або bid engine HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates; DT framing підтримано [20], [21], а фактичний safe-switch result є repo/thesis evidence цієї роботи, не зовнішній published result Ukrainian market governance Inferred receipts/submission claims DAM/IDM hourly preview і source-readiness blockers [3], [4], [8]",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
29,17,Park et al. Linear Formulation for Short-Term Operational Scheduling of Energy Storage Systems in Power Grids. DOI: 10.3390/en10020207. https://doi.org/10.3390/en10020207,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_17_1_f578d69f37_http_403.txt | docs\thesis\sources\energies-10-00207-linear-formulation-short-term-ess-scheduling.pdf,0.7238,docs\thesis\sources\energies-10-00207-linear-formulation-short-term-ess-scheduling.pdf,1,11 july 2016 accepted 7 february 2017 published 12 february 2017 abstract this paper presents linear programming lp formulations for short-term energy time-shift operational scheduling with energy storage systems esss in power grids in particular it is shown that the conventional nonlinear formulations for electric bill minimization peak shaving and load leveling can be formulated in the lp framework new variables for the peak and off-peak values are introduced in peak shaving and load leveling ,"Для BESS schedule LP є природним базовим інструментом: він може задати баланс енергії, обмеження SOC, потужність заряду/розряду, efficiency і простий економічний objective. Park et al. (2017) прямо формулюють short-term ESS scheduling через лінійні обмеження SOC, power range, energy limits та efficiency [17]. Hesse et al. (2019), Maheshwari et al. (2020), Kumtepeli et al. (2020) і Cao et al. (2020) показують, що storage dispatch може бути розширений degradation-aware або learning-based компонентами, але це підвищує вимоги до параметризації батареї та якості даних [18], [22], [23], [24]. У роботі LP використовується не як тема окремого математичного дослідження, а як deterministic evaluator, який дає однаковий scoring contour для всіх forecast і selector candidates. Це важливо, бо порівняння моделей без спільного optimization contour може бути несправедливим. Vykhodtsev et al. (2022) додатково пояснюють, що спрощене power-energy представлення батареї є придатним для techno-economic studies, але не замінює повний electrochemical digital twin [25]. Strict LP/oracle evaluator виконує дві ролі. По-перше, він оцінює value вибраного schedule. По-друге, він обчислює oracle reference, тобто",supported,strong multilingual semantic match in cited source candidate
30,18,Hesse et al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. https://doi.org/10.3390/en12060999,docs\thesis\sources\energies-12-00999-v2.pdf | analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_18_1_fc9ad48985_http_403.txt,0.6162,docs\thesis\sources\energies-12-00999-v2.pdf,1,market data values the concluding section section 5 summarises the main ndings of this work and outlines directions for future research 2 techno-economic framework for battery storage dispatch this section provides a framework for the pro t calculations conducted in the subsequent sections both the application-speci c revenue as well as battery investment costs are considered a formulation for the marginal cost of battery operation resulting from dissipation losses and battery ageing is introduc,"аланс енергії, обмеження SOC, потужність заряду/розряду, efficiency і простий економічний objective. Park et al. (2017) прямо формулюють short-term ESS scheduling через лінійні обмеження SOC, power range, energy limits та efficiency [17]. Hesse et al. (2019), Maheshwari et al. (2020), Kumtepeli et al. (2020) і Cao et al. (2020) показують, що storage dispatch може бути розширений degradation-aware або learning-based компонентами, але це підвищує вимоги до параметризації батареї та якості даних [18], [22], [23], [24]. У роботі LP використовується не як тема окремого математичного дослідження, а як deterministic evaluator, який дає однаковий scoring contour для всіх forecast і selector candidates. Це важливо, бо порівняння моделей без спільного optimization contour може бути несправедливим. Vykhodtsev et al. (2022) додатково пояснюють, що спрощене power-energy представлення батареї є придатним для techno-economic studies, але не замінює повний electrochemical digital twin [25]. Strict LP/oracle evaluator виконує дві ролі. По-перше, він оцінює value вибраного schedule. По-друге, він обчислює oracle reference, тобто найкращу offline value при realized prices. Різниця між oracle value і ",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
31,22,Maheshwari et al. Optimizing the operation of energy storage using a non-linear lithium-ion battery degradation model. DOI: 10.1016/j.apenergy.2019.114360. https://doi.org/10.1016/j.apenergy.2019.114360,docs\thesis\sources\1-s2.0-S0306261919320471-main.pdf,0.6742,docs\thesis\sources\1-s2.0-S0306261919320471-main.pdf,1,open access article under the cc by-nc-nd license t degradation-aware battery scheduling studies use either a con- straint-based approach 11 21 12 or an objective-based approach 9 22 23 in 10 the constraint-based approach has even been com- bined with the objective-based approach in the constraint-based ap- proach to extend the life of the battery one or more of the following variables are constrained power number of cycles per day depth of discharge dod maximumandminimumstateofcharge soc such a,"енергії, обмеження SOC, потужність заряду/розряду, efficiency і простий економічний objective. Park et al. (2017) прямо формулюють short-term ESS scheduling через лінійні обмеження SOC, power range, energy limits та efficiency [17]. Hesse et al. (2019), Maheshwari et al. (2020), Kumtepeli et al. (2020) і Cao et al. (2020) показують, що storage dispatch може бути розширений degradation-aware або learning-based компонентами, але це підвищує вимоги до параметризації батареї та якості даних [18], [22], [23], [24]. У роботі LP використовується не як тема окремого математичного дослідження, а як deterministic evaluator, який дає однаковий scoring contour для всіх forecast і selector candidates. Це важливо, бо порівняння моделей без спільного optimization contour може бути несправедливим. Vykhodtsev et al. (2022) додатково пояснюють, що спрощене power-energy представлення батареї є придатним для techno-economic studies, але не замінює повний electrochemical digital twin [25]. Strict LP/oracle evaluator виконує дві ролі. По-перше, він оцінює value вибраного schedule. По-друге, він обчислює oracle reference, тобто найкращу offline value при realized prices. Різниця між oracle value і select",supported,strong multilingual semantic match in cited source candidate
32,23,Kumtepeli et al. Energy Arbitrage Optimization With Battery Storage: 3D-MILP for Electro-Thermal Performance and Semi-Empirical Aging Models. DOI: 10.1109/ACCESS.2020.3035504. https://doi.org/10.1109/ACCESS.2020.3035504,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_23_1_0b7cddcdc1.txt,0.5032,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_23_1_0b7cddcdc1.txt,1,energy arbitrage optimization with battery storage 3d-milp for electro-thermal performance and semi-empirical aging models ieee journals magazine ieee xplore ieee account change username password update address purchase details payment options order history view purchased documents profile information communications preferences profession and education technical interests need help us canada 1 800 678 4333 worldwide 1 732 981 0060 contact support about ieee xplore contact us help accessibility t,"ї, обмеження SOC, потужність заряду/розряду, efficiency і простий економічний objective. Park et al. (2017) прямо формулюють short-term ESS scheduling через лінійні обмеження SOC, power range, energy limits та efficiency [17]. Hesse et al. (2019), Maheshwari et al. (2020), Kumtepeli et al. (2020) і Cao et al. (2020) показують, що storage dispatch може бути розширений degradation-aware або learning-based компонентами, але це підвищує вимоги до параметризації батареї та якості даних [18], [22], [23], [24]. У роботі LP використовується не як тема окремого математичного дослідження, а як deterministic evaluator, який дає однаковий scoring contour для всіх forecast і selector candidates. Це важливо, бо порівняння моделей без спільного optimization contour може бути несправедливим. Vykhodtsev et al. (2022) додатково пояснюють, що спрощене power-energy представлення батареї є придатним для techno-economic studies, але не замінює повний electrochemical digital twin [25]. Strict LP/oracle evaluator виконує дві ролі. По-перше, він оцінює value вибраного schedule. По-друге, він обчислює oracle reference, тобто найкращу offline value при realized prices. Різниця між oracle value і selected val",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
33,24,Cao et al. Deep Reinforcement Learning-Based Energy Storage Arbitrage With Accurate Lithium-Ion Battery Degradation Model. DOI: 10.1109/TSG.2020.2986333. https://doi.org/10.1109/TSG.2020.2986333,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_24_1_0df9c7c8a7.txt,0.4956,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_24_1_0df9c7c8a7.txt,1,deep reinforcement learning-based energy storage arbitrage with accurate lithium-ion battery degradation model ieee journals magazine ieee xplore ieee account change username password update address purchase details payment options order history view purchased documents profile information communications preferences profession and education technical interests need help us canada 1 800 678 4333 worldwide 1 732 981 0060 contact support about ieee xplore contact us help accessibility terms of use ,"еження SOC, потужність заряду/розряду, efficiency і простий економічний objective. Park et al. (2017) прямо формулюють short-term ESS scheduling через лінійні обмеження SOC, power range, energy limits та efficiency [17]. Hesse et al. (2019), Maheshwari et al. (2020), Kumtepeli et al. (2020) і Cao et al. (2020) показують, що storage dispatch може бути розширений degradation-aware або learning-based компонентами, але це підвищує вимоги до параметризації батареї та якості даних [18], [22], [23], [24]. У роботі LP використовується не як тема окремого математичного дослідження, а як deterministic evaluator, який дає однаковий scoring contour для всіх forecast і selector candidates. Це важливо, бо порівняння моделей без спільного optimization contour може бути несправедливим. Vykhodtsev et al. (2022) додатково пояснюють, що спрощене power-energy представлення батареї є придатним для techno-economic studies, але не замінює повний electrochemical digital twin [25]. Strict LP/oracle evaluator виконує дві ролі. По-перше, він оцінює value вибраного schedule. По-друге, він обчислює oracle reference, тобто найкращу offline value при realized prices. Різниця між oracle value і selected value ста",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
34,25,Vykhodtsev et al. A review of modelling approaches to characterize lithium-ion battery energy storage systems in techno-economic analyses of power systems. DOI: 10.1016/j.rser.2022.112584. https://doi.org/10.1016/j.rser.2022.112584,docs\thesis\sources\2106.08702v1.pdf,0.6671,docs\thesis\sources\2106.08702v1.pdf,1,corresponding circuit component 60 21 figure 2 number of publications in techno-economic studies of power system with the battery model di erent from a simple power-energy model the interest to the models that describe the dynamics of the processes in- side the battery has increased recently figure 2 all the papers in power system economic studies employing either the voltage-current model or the concentration-current model were published in the last three years 57 13 19 11 20 63 this can be lin,"кості даних [18], [22], [23], [24]. У роботі LP використовується не як тема окремого математичного дослідження, а як deterministic evaluator, який дає однаковий scoring contour для всіх forecast і selector candidates. Це важливо, бо порівняння моделей без спільного optimization contour може бути несправедливим. Vykhodtsev et al. (2022) додатково пояснюють, що спрощене power-energy представлення батареї є придатним для techno-economic studies, але не замінює повний electrochemical digital twin [25]. Strict LP/oracle evaluator виконує дві ролі. По-перше, він оцінює value вибраного schedule. По-друге, він обчислює oracle reference, тобто найкращу offline value при realized prices. Різниця між oracle value і selected value стає regret. Такий підхід дозволяє говорити не ""модель має меншу похибку"", а ""schedule втрачає менше економічної цінності відносно oracle"". Саме economic inputs для degradation/value scoring - storage cost/performance, replacement/cycle-life, round-trip efficiency і PV-plus-battery cost context - підтримуються NREL Storage Futures та NREL ATB матеріалами [26], [27].",supported,strong multilingual semantic match in cited source candidate
35,26,Augustine and Blair. Storage Futures Study: Storage Technology Modeling Input Data Report. NREL/TP-5700-78694. https://www.nrel.gov/docs/fy21osti/78694.pdf,docs\thesis\sources\nrel-2021-storage-futures-technology-modeling-input-data-report.pdf,0.4715,docs\thesis\sources\nrel-2021-storage-futures-technology-modeling-input-data-report.pdf,1,and that translates into these values as discussed in section 2 4 the definition of what is included in the overall system cost is critical and currently is not handled consistently across the globe nor are specific us prices always defined which should be higher with soft costs included note that many analyses might use any of these current and future costs for analyses and come back with significantly different results figure 39 comparison of bnef and schmidt et al 2018 residential bess instal,"hedule. По-друге, він обчислює oracle reference, тобто найкращу offline value при realized prices. Різниця між oracle value і selected value стає regret. Такий підхід дозволяє говорити не ""модель має меншу похибку"", а ""schedule втрачає менше економічної цінності відносно oracle"". Саме economic inputs для degradation/value scoring - storage cost/performance, replacement/cycle-life, round-trip efficiency і PV-plus-battery cost context - підтримуються NREL Storage Futures та NREL ATB матеріалами [26], [27].",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
36,27,NREL. 2023 Annual Technology Baseline: Utility-Scale PV-Plus-Battery. https://atb.nrel.gov/electricity/2023/residential_battery_storage/utility-scale_pv-plus-battery,docs\thesis\sources\nrel-atb-2023-pv-plus-battery.md,0.3636,docs\thesis\sources\nrel-atb-2023-pv-plus-battery.md,1,deriving dispatch limits from location documenting that the level 1 degradation model is a tractable economic proxy not a full ageing model citation note use the canonical url above in the thesis bibliography if the atb version changes cite it as the 2023 nrel annual technology baseline pv-plus-battery page accessed on 2026-05-04,". По-друге, він обчислює oracle reference, тобто найкращу offline value при realized prices. Різниця між oracle value і selected value стає regret. Такий підхід дозволяє говорити не ""модель має меншу похибку"", а ""schedule втрачає менше економічної цінності відносно oracle"". Саме economic inputs для degradation/value scoring - storage cost/performance, replacement/cycle-life, round-trip efficiency і PV-plus-battery cost context - підтримуються NREL Storage Futures та NREL ATB матеріалами [26], [27].",needs-human,"low semantic match; broad/governance citation, landing page, or incomplete full text"
37,15,Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI: 10.1016/j.ijforecast.2022.03.001. https://arxiv.org/abs/2104.05522,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_15_1_6e29cb2c21.txt,0.6523,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_15_1_6e29cb2c21.txt,1,electricity prices with nbeatsx authors kin g olivares cristian challu grzegorz marcjasz rafa weron artur dubrawski view a pdf of the paper titled neural basis expansion analysis with exogenous variables forecasting electricity prices with nbeatsx by kin g olivares and cristian challu and grzegorz marcjasz and rafa l weron and artur dubrawski view pdf abstract we extend the neural basis expansion analysis nbeats to incorporate exogenous factors the resulting method called nbeatsx improves on a w,"NBEATSx у роботі має статус forecast-layer choice/adaptor. Olivares et al. (2023) описують NBEATSx як neural basis expansion model з exogenous variables для electricity price forecasting [15]. Це релевантно для DAM/BESS, бо цінові ряди мають щоденні, тижневі, сезонні та регуляторні компоненти, а також реагують на погодні й системні фактори. Проте сам факт використання NBEATSx не є доказом кращого arbitrage result; його output перевіряється через LP/regret. Temporal Fusion Transformer, запропонований Lim et al. (2021), є другим важливим forecast-layer напрямом [16]. TFT підтримує multi-horizon forecasting, static covariates, known future inputs, observed historical inputs, variable selection та attention-based interpretability. Probabilistic TFT та інші сучасні deep-learning EPF роботи розширюють цей напрям у бік uncertainty-aware forecasting, quantile loss і exogenous-aware transformer architectures (Jiang et al., 2024 [28]; Wang et al., 2024 [29]; Yu et al., 2026 [30]; Jin and Blanco-Encomienda, 2026 [31]). Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний роз",supported,strong multilingual semantic match in cited source candidate
38,16,Lim et al. Temporal Fusion Transformers for Interpretable Multi-horizon Time Series Forecasting. DOI: 10.48550/arXiv.1912.09363. https://arxiv.org/abs/1912.09363,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_16_1_bfadab858a.txt | docs\thesis\sources\1912.09363v3.pdf,0.6069,docs\thesis\sources\1912.09363v3.pdf,1,exogenous inputs are known into the future 9 6 12 a common problem with autoregressive models or neglect important static covariates 10 which are simply concatenated with other time-dependent features at each step many recent improvements in time series models have resulted from the alignment of architectures with unique data characteristics 13 14 we argue and demonstrate that similar performance gains can also be reaped by designing networks with suitable inductive biases for multi-horizon fore,"et al. (2023) описують NBEATSx як neural basis expansion model з exogenous variables для electricity price forecasting [15]. Це релевантно для DAM/BESS, бо цінові ряди мають щоденні, тижневі, сезонні та регуляторні компоненти, а також реагують на погодні й системні фактори. Проте сам факт використання NBEATSx не є доказом кращого arbitrage result; його output перевіряється через LP/regret. Temporal Fusion Transformer, запропонований Lim et al. (2021), є другим важливим forecast-layer напрямом [16]. TFT підтримує multi-horizon forecasting, static covariates, known future inputs, observed historical inputs, variable selection та attention-based interpretability. Probabilistic TFT та інші сучасні deep-learning EPF роботи розширюють цей напрям у бік uncertainty-aware forecasting, quantile loss і exogenous-aware transformer architectures (Jiang et al., 2024 [28]; Wang et al., 2024 [29]; Yu et al., 2026 [30]; Jin and Blanco-Encomienda, 2026 [31]). Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі ",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
39,28,Jiang et al. Probabilistic electricity price forecasting based on penalized temporal fusion transformer. DOI: 10.1002/for.3084. https://doi.org/10.1002/for.3084,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_28_1_2be47c4334_http_403.txt,0.2912,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_28_1_2be47c4334_http_403.txt,1,wiley com' fa doi 10 1002 for 3084 cf_chl_f_tk omsc2749m41noxbc96omxloacefom69ed9u2re_mhaw-1780941780-1 0 1 1-cpebiiesxeupmwrbfrknchgy1fgpkfkyrlecrxcjqa0 md oyurzexuordxx tvojuelj23axlu4hnqu0wocl2vtw8-1780941780-1 2 1 1-_7o9rpm3xnd65b ctdc5ge4fdp8mo teikl53vqo2m1zjbnokh_8nu71gaxmraxukai4jjaqzuimpywsmtwehbduphpfkfgpwtb42afvi0myvvjnjeiiwv4svnqfih6lwu3we hqwvlubl87ypxokgboxd74kw7bv2xulidrtczf2drsahd3rgbp1z1hxdpfa30jnc432lcd380oe_ufhlzc8t4z0tdovogxx3kry93o08fvnr1vkbzbhdocv p wzzkbbo hnnz79hczn8ifrmx,"іряється через LP/regret. Temporal Fusion Transformer, запропонований Lim et al. (2021), є другим важливим forecast-layer напрямом [16]. TFT підтримує multi-horizon forecasting, static covariates, known future inputs, observed historical inputs, variable selection та attention-based interpretability. Probabilistic TFT та інші сучасні deep-learning EPF роботи розширюють цей напрям у бік uncertainty-aware forecasting, quantile loss і exogenous-aware transformer architectures (Jiang et al., 2024 [28]; Wang et al., 2024 [29]; Yu et al., 2026 [30]; Jin and Blanco-Encomienda, 2026 [31]). Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі мають статус future/research context, а не причину для зміни поточного headline result [32], [33], [34], [35], [36]. Current evidence залишається прив'язаною до українського DAM benchmark і V2/V2+ schedule/value selector.",needs-human,"low semantic match; broad/governance citation, landing page, or incomplete full text"
40,29,Wang et al. TimeXer: Empowering Transformers for Time Series Forecasting with Exogenous Variables. DOI: 10.48550/arXiv.2402.19072. https://arxiv.org/abs/2402.19072,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_29_1_364b065cd8.txt | docs\thesis\sources\2402.19072v2-timexer-exogenous-transformer-forecasting.pdf,0.6870,docs\thesis\sources\2402.19072v2-timexer-exogenous-transformer-forecasting.pdf,1,timexer empowering transformers for time series forecasting with exogenous variables yuxuan wang haixu wu jiaxiang dong guo qin haoran zhang yong liu yunzhong qiu jianmin wang mingsheng long school of software bnrist tsinghua university beijing 100084 china wangyuxu22 whx20 djx20 qinguo24 zhang-hr24 liuyong21 qiuyz24 mails tsinghua edu cn jimwang mingsheng tsinghua edu cn abstract deep models have demonstrated remarkable performance in time series forecasting however due to the partially-observe,". Temporal Fusion Transformer, запропонований Lim et al. (2021), є другим важливим forecast-layer напрямом [16]. TFT підтримує multi-horizon forecasting, static covariates, known future inputs, observed historical inputs, variable selection та attention-based interpretability. Probabilistic TFT та інші сучасні deep-learning EPF роботи розширюють цей напрям у бік uncertainty-aware forecasting, quantile loss і exogenous-aware transformer architectures (Jiang et al., 2024 [28]; Wang et al., 2024 [29]; Yu et al., 2026 [30]; Jin and Blanco-Encomienda, 2026 [31]). Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі мають статус future/research context, а не причину для зміни поточного headline result [32], [33], [34], [35], [36]. Current evidence залишається прив'язаною до українського DAM benchmark і V2/V2+ schedule/value selector.",supported,strong multilingual semantic match in cited source candidate
