"source","entry","url_count","doi_label_count","link_verdicts","metadata_verdict","notes"
"16","Lim et al. Temporal Fusion Transformers for Interpretable Multi-horizon Time Series Forecasting. DOI: 10.48550/arXiv.1912.09363. https://arxiv.org/abs/1912.09363","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"17","Park et al. Linear Formulation for Short-Term Operational Scheduling of Energy Storage Systems in Power Grids. DOI: 10.3390/en10020207. https://doi.org/10.3390/en10020207","1","1","needs-human","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit. Automated link checker reaches the DOI redirect target but publisher blocks bot access with 403; metadata remains DOI-consistent."
"18","Hesse et al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. https://doi.org/10.3390/en12060999","1","1","needs-human","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit. Automated link checker reaches the DOI redirect target but publisher blocks bot access with 403; metadata remains DOI-consistent."
"19","Grimaldi et al. Profitability of energy arbitrage net profit for grid-scale battery energy storage considering dynamic efficiency and degradation using a linear, mixed-integer linear, and mixed-integer non-linear optimization approach. DOI: 10.1016/j.est.2024.112380. https://doi.org/10.1016/j.est.2024.112380","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"20","Chen et al. Decision Transformer: Reinforcement Learning via Sequence Modeling. DOI: 10.48550/arXiv.2106.01345. https://arxiv.org/abs/2106.01345","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"21","Bhargava et al. When should we prefer Decision Transformers for Offline Reinforcement Learning? arXiv:2305.14550. https://arxiv.org/abs/2305.14550","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"22","Maheshwari et al. Optimizing the operation of energy storage using a non-linear lithium-ion battery degradation model. DOI: 10.1016/j.apenergy.2019.114360. https://doi.org/10.1016/j.apenergy.2019.114360","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"23","Kumtepeli et al. Energy Arbitrage Optimization With Battery Storage: 3D-MILP for Electro-Thermal Performance and Semi-Empirical Aging Models. DOI: 10.1109/ACCESS.2020.3035504. https://doi.org/10.1109/ACCESS.2020.3035504","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"24","Cao et al. Deep Reinforcement Learning-Based Energy Storage Arbitrage With Accurate Lithium-Ion Battery Degradation Model. DOI: 10.1109/TSG.2020.2986333. https://doi.org/10.1109/TSG.2020.2986333","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"25","Vykhodtsev et al. A review of modelling approaches to characterize lithium-ion battery energy storage systems in techno-economic analyses of power systems. DOI: 10.1016/j.rser.2022.112584. https://doi.org/10.1016/j.rser.2022.112584","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"26","Augustine and Blair. Storage Futures Study: Storage Technology Modeling Input Data Report. NREL/TP-5700-78694. https://www.nrel.gov/docs/fy21osti/78694.pdf","1","0","needs-human","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit. Local resolver failed for nrel.gov, but external readback confirmed the official NREL PDF title and report number."
"27","NREL. 2023 Annual Technology Baseline: Utility-Scale PV-Plus-Battery. https://atb.nrel.gov/electricity/2023/residential_battery_storage/utility-scale_pv-plus-battery","1","0","needs-human","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit. Local resolver failed for atb.nrel.gov, but external readback confirmed the official ATB PV-plus-battery page."
"28","Jiang et al. Probabilistic electricity price forecasting based on penalized temporal fusion transformer. DOI: 10.1002/for.3084. https://doi.org/10.1002/for.3084","1","1","needs-human","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit. Automated link checker reaches the DOI redirect target but publisher blocks bot access with 403; metadata remains DOI-consistent."
"29","Wang et al. TimeXer: Empowering Transformers for Time Series Forecasting with Exogenous Variables. DOI: 10.48550/arXiv.2402.19072. https://arxiv.org/abs/2402.19072","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"30","Yu et al. Deep Learning for Electricity Price Forecasting: A Review of Day-Ahead, Intraday, and Balancing Electricity Markets. DOI: 10.48550/arXiv.2602.10071. https://arxiv.org/abs/2602.10071","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"31","Jin and Blanco-Encomienda. Seasonal Decomposition-Enhanced Deep Learning Architecture for Probabilistic Forecasting. DOI: 10.1002/for.70065. https://doi.org/10.1002/for.70065","1","1","needs-human","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit. Automated link checker reaches the DOI redirect target but publisher blocks bot access with 403; metadata remains DOI-consistent."
"32","Yu et al. PriceFM: Foundation Model for Probabilistic Electricity Price Forecasting. arXiv:2508.04875. https://arxiv.org/abs/2508.04875","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"33","Lipiecki et al. Stealing Accuracy: Predicting Day-ahead Electricity Prices with Temporal Hierarchy Forecasting (THieF). arXiv:2508.11372. https://arxiv.org/abs/2508.11372","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"34","Meyer et al. Rethinking Evaluation in the Era of Time Series Foundation Models: (Un)known Information Leakage Challenges. arXiv:2510.13654. https://arxiv.org/abs/2510.13654","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"35","Dange and Sarawagi. TFMAdapter: Lightweight Instance-Level Adaptation of Foundation Models for Forecasting with Covariates. arXiv:2509.13906. https://arxiv.org/abs/2509.13906","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"36","Fu et al. Reverso: Efficient Time Series Foundation Models for Zero-shot Forecasting. arXiv:2602.17634. https://arxiv.org/abs/2602.17634","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"37","Persak and Anjos. Decision-Focused Forecasting: A Differentiable Multistage Optimisation Architecture. arXiv:2405.14719. https://arxiv.org/abs/2405.14719","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"38","Yi, Alghumayjan, and Xu. Perturbed Decision-Focused Learning for Modeling Strategic Energy Storage. arXiv:2406.17085. https://arxiv.org/abs/2406.17085","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"39","Madahi et al. Distributional Reinforcement Learning-based Energy Arbitrage Strategies in Imbalance Settlement Mechanism. arXiv:2401.00015. https://arxiv.org/abs/2401.00015","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"40","Agrawal et al. Differentiable Convex Optimization Layers. DOI: 10.48550/arXiv.1910.12430. https://arxiv.org/abs/1910.12430","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"41","Amos and Kolter. OptNet: Differentiable Optimization as a Layer in Neural Networks. Proceedings of Machine Learning Research 70:136-145. https://proceedings.mlr.press/v70/amos17a.html","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"42","Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. https://arxiv.org/abs/2505.01551","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"43","Hugging Face. Decision Transformer model documentation. https://huggingface.co/docs/transformers/model_doc/decision_transformer","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"44","ENTSO-E Transparency Platform. Electricity Market Transparency. https://www.entsoe.eu/data/transparency-platform/","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"45","Open Power System Data. Open European power-system data platform. https://open-power-system-data.org/","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"46","Open Power System Data. Time series data package. https://data.open-power-system-data.org/time_series/","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"47","Nord Pool. Data Portal and market-data services. https://www.nordpoolgroup.com/en/services/power-market-data-services/dataportalregistration/","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"48","Ember. API for open electricity data. https://ember-energy.org/data/api","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"49","Li and Becker. Day-ahead electricity price prediction applying hybrid models of LSTM-based deep learning methods and feature selection algorithms under consideration of market coupling. arXiv:2101.05249. https://arxiv.org/abs/2101.05249","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"50","Redhu and Bremdal. Day-Ahead Zonal Electricity Price Forecasting using 1D-LSTM with Neighbouring Zones Data. DOI: 10.1109/PowerTech55446.2023.10202771. https://doi.org/10.1109/PowerTech55446.2023.10202771","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"51","Mascarenhas et al. Leveraging Asynchronous Cross-border Market Data for Improved Day-Ahead Electricity Price Forecasting in European Markets. arXiv:2507.13250. https://arxiv.org/abs/2507.13250","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"52","Nixtla. NeuralForecast exogenous variables and NBEATSx documentation. https://nixtlaverse.nixtla.io/neuralforecast/docs/capabilities/exogenous_variables.html and https://nixtlaverse.nixtla.io/neuralforecast/models.nbeatsx.html","2","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"53","Open-Meteo. Forecast API documentation. https://open-meteo.com/en/docs","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"54","Open-Meteo. Historical Weather API documentation. https://open-meteo.com/en/docs/historical-weather-api","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"55","Dagster. Software-defined assets documentation. https://docs.dagster.io/guides/build/assets","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"56","MLflow. Tracking documentation. https://mlflow.org/docs/latest/ml/tracking/","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"57","FastAPI. FastAPI documentation. https://fastapi.tiangolo.com/","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"58","Pydantic. Strict mode documentation. https://docs.pydantic.dev/latest/concepts/strict_mode/","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"59","Databricks. What is the medallion lakehouse architecture? https://docs.databricks.com/aws/en/lakehouse/medallion","1","0","ok","pass","Fixed in this pass: replaced obsolete Databricks glossary URL with current Databricks Docs medallion architecture page."
"60","European Commission. AI Act regulatory framework. https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
