"mention_index","source","citation","claim_context","source_entry","support_verdict","action","notes"
"11","11","[[11]](#source-11)","Класичні роботи з electricity price forecasting часто оцінюють моделі через MAE, RMSE, MAPE або quantile losses. Такі метрики корисні для порівняння прогнозів, але вони не відповідають безпосередньо на питання, чи кращим буде battery schedule. Lago et al. (2021) показують важливість строгих EPF-бенчмарків і сильних baseline, а Elmachtoub and Grigas (2022) демонструють, що статистична якість прогнозу не завжди збігається з якістю downstream optimization decision [[11]](#source-11), [[12]](#source-12).","Lago et al. Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark. DOI: 10.1016/j.apenergy.2021.116983. https://doi.org/10.1016/j.apenergy.2021.116983","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"12","12","[[12]](#source-12)","Класичні роботи з electricity price forecasting часто оцінюють моделі через MAE, RMSE, MAPE або quantile losses. Такі метрики корисні для порівняння прогнозів, але вони не відповідають безпосередньо на питання, чи кращим буде battery schedule. Lago et al. (2021) показують важливість строгих EPF-бенчмарків і сильних baseline, а Elmachtoub and Grigas (2022) демонструють, що статистична якість прогнозу не завжди збігається з якістю downstream optimization decision [[11]](#source-11), [[12]](#source-12).","Elmachtoub and Grigas. Smart ""Predict, then Optimize"". DOI: 10.1287/mnsc.2020.3922. https://doi.org/10.1287/mnsc.2020.3922","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. Link audit has publisher anti-bot 403, but DOI metadata/source topic remain consistent."
"13","13","[[13]](#source-13)","У BESS arbitrage важливі не всі помилки однаково: помилка біля локального піку або провалу може коштувати значно більше, ніж така сама абсолютна похибка у стабільній середині доби. Крім того, schedule value залежить від SOC path, efficiency losses і обмеження потужності. Саме тому storage-specific DFL роботи Sang et al. (2022/2023) та Mandi et al. (2024) пропонують оцінювати моделі через regret/value або decision loss, а не лише через forecast-only loss [[13]](#source-13), [[14]](#source-14).","Sang et al. Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach. DOI: 10.1109/TSG.2022.3166791 / arXiv:2305.00362. https://doi.org/10.1109/TSG.2022.3166791","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"14","14","[[14]](#source-14)","У BESS arbitrage важливі не всі помилки однаково: помилка біля локального піку або провалу може коштувати значно більше, ніж така сама абсолютна похибка у стабільній середині доби. Крім того, schedule value залежить від SOC path, efficiency losses і обмеження потужності. Саме тому storage-specific DFL роботи Sang et al. (2022/2023) та Mandi et al. (2024) пропонують оцінювати моделі через regret/value або decision loss, а не лише через forecast-only loss [[13]](#source-13), [[14]](#source-14).","Mandi et al. Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities. DOI: 10.1613/jair.1.15320 / arXiv:2307.13565. https://arxiv.org/abs/2307.13565","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"15","15","[[15]](#source-15)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI: 10.1016/j.ijforecast.2022.03.001. https://arxiv.org/abs/2104.05522","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"16","16","[[16]](#source-16)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","Lim et al. Temporal Fusion Transformers for Interpretable Multi-horizon Time Series Forecasting. DOI: 10.48550/arXiv.1912.09363. https://arxiv.org/abs/1912.09363","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"17","11","[[11]](#source-11)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","Lago et al. Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark. DOI: 10.1016/j.apenergy.2021.116983. https://doi.org/10.1016/j.apenergy.2021.116983","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"18","17","[[17]](#source-17)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","Park et al. Linear Formulation for Short-Term Operational Scheduling of Energy Storage Systems in Power Grids. DOI: 10.3390/en10020207. https://doi.org/10.3390/en10020207","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. Link audit has publisher anti-bot 403, but DOI metadata/source topic remain consistent."
"19","18","[[18]](#source-18)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","Hesse et al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. https://doi.org/10.3390/en12060999","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. Link audit has publisher anti-bot 403, but DOI metadata/source topic remain consistent."
"20","19","[[19]](#source-19)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","Grimaldi et al. Profitability of energy arbitrage net profit for grid-scale battery energy storage considering dynamic efficiency and degradation using a linear, mixed-integer linear, and mixed-integer non-linear optimization approach. DOI: 10.1016/j.est.2024.112380. https://doi.org/10.1016/j.est.2024.112380","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"21","12","[[12]](#source-12)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","Elmachtoub and Grigas. Smart ""Predict, then Optimize"". DOI: 10.1287/mnsc.2020.3922. https://doi.org/10.1287/mnsc.2020.3922","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. Link audit has publisher anti-bot 403, but DOI metadata/source topic remain consistent."
"22","13","[[13]](#source-13)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","Sang et al. Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach. DOI: 10.1109/TSG.2022.3166791 / arXiv:2305.00362. https://doi.org/10.1109/TSG.2022.3166791","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"23","14","[[14]](#source-14)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","Mandi et al. Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities. DOI: 10.1613/jair.1.15320 / arXiv:2307.13565. https://arxiv.org/abs/2307.13565","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"24","20","[[20]](#source-20)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","Chen et al. Decision Transformer: Reinforcement Learning via Sequence Modeling. DOI: 10.48550/arXiv.2106.01345. https://arxiv.org/abs/2106.01345","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"25","21","[[21]](#source-21)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","Bhargava et al. When should we prefer Decision Transformers for Offline Reinforcement Learning? arXiv:2305.14550. https://arxiv.org/abs/2305.14550","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"26","3","[[3]](#source-3)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","NEURC. Resolution No. 621 of 23 April 2026 on price caps for the day-ahead, intraday, and balancing markets. https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"27","4","[[4]](#source-4)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","JSC Market Operator. The Market Operator tariff for 2026 amounts to UAH 6.88 per MWh. https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"28","8","[[8]](#source-8)","| Напрям | В роботі | Поза scope | | --- | --- | --- | | EPF / time-series forecasting | NBEATSx/TFT; downstream regret [[15]](#source-15), [[16]](#source-16), [[11]](#source-11) | SOTA за MAE/RMSE без LP/regret | | Storage optimization | LP schedule із SOC/power/efficiency [[17]](#source-17), [[18]](#source-18), [[19]](#source-19) | Settlement/live dispatch | | DFL / predict-then-optimize | Regret/value як decision-quality criterion [[12]](#source-12), [[13]](#source-13), [[14]](#source-14) | Full differentiable controller | | Offline RL / DT | Research-shadow sequence policy [[20]](#source-20), [[21]](#source-21) | DT/LAVA promotion/live policy | | Constrained neural decision layer | HF safe-switch scorer як candidate-ranking layer з fallback, tail-risk і deterministic gates | Raw transformer controller або bid engine | | Ukrainian market governance | DAM/IDM hourly preview і source-readiness blockers [[3]](#source-3), [[4]](#source-4), [[8]](#source-8) | Inferred receipts/submission claims |","ACER. ACER will decide on the electricity market coupling integration plan for the Energy Community. https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"29","17","[[17]](#source-17)","Для BESS schedule LP є природним базовим інструментом: він може задати баланс енергії, обмеження SOC, потужність заряду/розряду, efficiency і простий економічний objective. Park et al. (2017) прямо формулюють short-term ESS scheduling через лінійні обмеження SOC, power range, energy limits та efficiency [[17]](#source-17). Hesse et al. (2019), Maheshwari et al. (2020), Kumtepeli et al. (2020) і Cao et al. (2020) показують, що storage dispatch може бути розширений degradation-aware або learning-based компонентами, але це підвищує вимоги до параметризації батареї та якості даних [[18]](#source-18), [[22]](#source-22), [[23]](#source-23), [[24]](#source-24).","Park et al. Linear Formulation for Short-Term Operational Scheduling of Energy Storage Systems in Power Grids. DOI: 10.3390/en10020207. https://doi.org/10.3390/en10020207","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. Link audit has publisher anti-bot 403, but DOI metadata/source topic remain consistent."
