source_number,line,entry,clickable_urls,bare_urls,doi,arxiv_ids,url_statuses,metadata_titles,metadata_notes,title_overlap,issues
11,125,Maheshwari et al. Optimizing the operation of energy storage using a non-linear lithium-ion battery degradation model. DOI: 10.1016/j.apenergy.2019.114360. [https://doi.org/10.1016/j.apenergy.2019.114360](https://doi.org/10.1016/j.apenergy.2019.114360),https://doi.org/10.1016/j.apenergy.2019.114360,,10.1016/j.apenergy.2019.114360 | 10.1016/j.apenergy.2019.114360 | 10.1016/j.apenergy.2019.114360,,200 https://doi.org/10.1016/j.apenergy.2019.114360 -> https://linkinghub.elsevier.com/retrieve/pii/S0306261919320471,Optimizing the operation of energy storage using a non-linear lithium-ion battery degradation model,doi:10.1016/j.apenergy.2019.114360:2020,1.000,
12,126,Hu et al. Potential utilization of battery energy storage systems (BESS) in the major European electricity markets. DOI: 10.1016/j.apenergy.2022.119512. [https://doi.org/10.1016/j.apenergy.2022.119512](https://doi.org/10.1016/j.apenergy.2022.119512),https://doi.org/10.1016/j.apenergy.2022.119512,,10.1016/j.apenergy.2022.119512 | 10.1016/j.apenergy.2022.119512 | 10.1016/j.apenergy.2022.119512,,200 https://doi.org/10.1016/j.apenergy.2022.119512 -> https://linkinghub.elsevier.com/retrieve/pii/S0306261922008340,Potential utilization of battery energy storage systems (BESS) in the major European electricity markets,doi:10.1016/j.apenergy.2022.119512:2022,1.000,
13,127,Li et al. Temporal-Aware Deep Reinforcement Learning for Energy Storage Bidding in Energy and Contingency Reserve Markets. DOI: 10.1109/TEMPR.2024.3372656. [https://doi.org/10.1109/TEMPR.2024.3372656](https://doi.org/10.1109/TEMPR.2024.3372656),https://doi.org/10.1109/TEMPR.2024.3372656,,10.1109/TEMPR.2024.3372656 | 10.1109/TEMPR.2024.3372656 | 10.1109/TEMPR.2024.3372656,,200 https://doi.org/10.1109/TEMPR.2024.3372656 -> https://ieeexplore.ieee.org/document/10458427/,Temporal-Aware Deep Reinforcement Learning for Energy Storage Bidding in Energy and Contingency Reserve Markets,doi:10.1109/TEMPR.2024.3372656:2024,1.000,
14,128,"Lago et al. Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark. DOI: 10.1016/j.apenergy.2021.116983. [https://doi.org/10.1016/j.apenergy.2021.116983](https://doi.org/10.1016/j.apenergy.2021.116983)",https://doi.org/10.1016/j.apenergy.2021.116983,,10.1016/j.apenergy.2021.116983 | 10.1016/j.apenergy.2021.116983 | 10.1016/j.apenergy.2021.116983,,200 https://doi.org/10.1016/j.apenergy.2021.116983 -> https://linkinghub.elsevier.com/retrieve/pii/S0306261921004529,"Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark",doi:10.1016/j.apenergy.2021.116983:2021,1.000,
15,129,Wang et al. TimeXer: Empowering Transformers for Time Series Forecasting with Exogenous Variables. DOI: 10.48550/arXiv.2402.19072. [https://arxiv.org/abs/2402.19072](https://arxiv.org/abs/2402.19072),https://arxiv.org/abs/2402.19072,,10.48550/arXiv.2402.19072,2402.19072,200 https://arxiv.org/abs/2402.19072 -> https://arxiv.org/abs/2402.19072,TimeXer: Empowering Transformers for Time Series Forecasting with Exogenous Variables,doi:10.48550/arXiv.2402.19072:crossref_http_404 | arxiv:2402.19072:2024,1.000,
16,130,"Yu et al. Deep Learning for Electricity Price Forecasting: A Review of Day-Ahead, Intraday, and Balancing Electricity Markets. DOI: 10.48550/arXiv.2602.10071. [https://arxiv.org/abs/2602.10071](https://arxiv.org/abs/2602.10071)",https://arxiv.org/abs/2602.10071,,10.48550/arXiv.2602.10071,2602.10071,200 https://arxiv.org/abs/2602.10071 -> https://arxiv.org/abs/2602.10071,"Deep Learning for Electricity Price Forecasting: A Review of Day-Ahead, Intraday, and Balancing Electricity Markets",doi:10.48550/arXiv.2602.10071:crossref_http_404 | arxiv:2602.10071:2026,1.000,
17,131,Yu et al. PriceFM: Foundation Model for Probabilistic Electricity Price Forecasting. arXiv:2508.04875. [https://arxiv.org/abs/2508.04875](https://arxiv.org/abs/2508.04875),https://arxiv.org/abs/2508.04875,,,2508.04875,200 https://arxiv.org/abs/2508.04875 -> https://arxiv.org/abs/2508.04875,PriceFM: Foundation Model for Probabilistic Electricity Price Forecasting,arxiv:2508.04875:2025,1.000,
18,132,Lipiecki et al. Stealing Accuracy: Predicting Day-ahead Electricity Prices with Temporal Hierarchy Forecasting (THieF). arXiv:2508.11372. [https://arxiv.org/abs/2508.11372](https://arxiv.org/abs/2508.11372),https://arxiv.org/abs/2508.11372,,,2508.11372,200 https://arxiv.org/abs/2508.11372 -> https://arxiv.org/abs/2508.11372,Stealing Accuracy: Predicting Day-ahead Electricity Prices with Temporal Hierarchy Forecasting (THieF),arxiv:2508.11372:2025,1.000,
19,133,Meyer et al. Rethinking Evaluation in the Era of Time Series Foundation Models: (Un)known Information Leakage Challenges. arXiv:2510.13654. [https://arxiv.org/abs/2510.13654](https://arxiv.org/abs/2510.13654),https://arxiv.org/abs/2510.13654,,,2510.13654,200 https://arxiv.org/abs/2510.13654 -> https://arxiv.org/abs/2510.13654,Rethinking Evaluation in the Era of Time Series Foundation Models: (Un)known Information Leakage Challenges,arxiv:2510.13654:2025,1.000,
20,134,Dange and Sarawagi. TFMAdapter: Lightweight Instance-Level Adaptation of Foundation Models for Forecasting with Covariates. arXiv:2509.13906. [https://arxiv.org/abs/2509.13906](https://arxiv.org/abs/2509.13906),https://arxiv.org/abs/2509.13906,,,2509.13906,200 https://arxiv.org/abs/2509.13906 -> https://arxiv.org/abs/2509.13906,TFMAdapter: Lightweight Instance-Level Adaptation of Foundation Models for Forecasting with Covariates,arxiv:2509.13906:2025,1.000,
21,135,Fu et al. Reverso: Efficient Time Series Foundation Models for Zero-shot Forecasting. arXiv:2602.17634. [https://arxiv.org/abs/2602.17634](https://arxiv.org/abs/2602.17634),https://arxiv.org/abs/2602.17634,,,2602.17634,200 https://arxiv.org/abs/2602.17634 -> https://arxiv.org/abs/2602.17634,Reverso: Efficient Time Series Foundation Models for Zero-shot Forecasting,arxiv:2602.17634:2026,1.000,
22,136,Madahi et al. Distributional Reinforcement Learning-based Energy Arbitrage Strategies in Imbalance Settlement Mechanism. arXiv:2401.00015. [https://arxiv.org/abs/2401.00015](https://arxiv.org/abs/2401.00015),https://arxiv.org/abs/2401.00015,,,2401.00015,200 https://arxiv.org/abs/2401.00015 -> https://arxiv.org/abs/2401.00015,Distributional Reinforcement Learning-based Energy Arbitrage Strategies in Imbalance Settlement Mechanism,arxiv:2401.00015:2023,1.000,
23,137,ENTSO-E Transparency Platform. Electricity Market Transparency. [https://www.entsoe.eu/data/transparency-platform/](https://www.entsoe.eu/data/transparency-platform/),https://www.entsoe.eu/data/transparency-platform/,,,,200 https://www.entsoe.eu/data/transparency-platform/ -> https://www.entsoe.eu/data/transparency-platform/,,,0.000,
24,138,Open Power System Data. Open European power-system data platform. [https://open-power-system-data.org/](https://open-power-system-data.org/),https://open-power-system-data.org/,,,,200 https://open-power-system-data.org/ -> https://open-power-system-data.org/,,,0.000,
25,139,Open Power System Data. Time series data package. [https://data.open-power-system-data.org/time_series/](https://data.open-power-system-data.org/time_series/),https://data.open-power-system-data.org/time_series/,,,,200 https://data.open-power-system-data.org/time_series/ -> https://data.open-power-system-data.org/time_series/,,,0.000,
26,140,Nord Pool. Data Portal and market-data services. [https://www.nordpoolgroup.com/en/services/power-market-data-services/dataportalregistration/](https://www.nordpoolgroup.com/en/services/power-market-data-services/dataportalregistration/),https://www.nordpoolgroup.com/en/services/power-market-data-services/dataportalregistration/,,,,200 https://www.nordpoolgroup.com/en/services/power-market-data-services/dataportalregistration/ -> https://www.nordpoolgroup.com/en/services/power-market-data-services/dataportalregistration/,,,0.000,
27,141,Ember. API for open electricity data. [https://ember-energy.org/data/api](https://ember-energy.org/data/api),https://ember-energy.org/data/api,,,,200 https://ember-energy.org/data/api -> https://ember-energy.org/data/api/,,,0.000,
28,142,"Mandi et al. Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities. DOI: 10.1613/jair.1.15320 / arXiv:2307.13565. [https://arxiv.org/abs/2307.13565](https://arxiv.org/abs/2307.13565)",https://arxiv.org/abs/2307.13565,,10.1613/jair.1.15320,2307.13565,200 https://arxiv.org/abs/2307.13565 -> https://arxiv.org/abs/2307.13565,"Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities",doi:10.1613/jair.1.15320:2024,1.000,
29,143,Sang et al. Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach. DOI: 10.1109/TSG.2022.3166791 / arXiv:2305.00362. [https://doi.org/10.1109/TSG.2022.3166791](https://doi.org/10.1109/TSG.2022.3166791),https://doi.org/10.1109/TSG.2022.3166791,,10.1109/TSG.2022.3166791 | 10.1109/TSG.2022.3166791 | 10.1109/TSG.2022.3166791,,200 https://doi.org/10.1109/TSG.2022.3166791 -> https://ieeexplore.ieee.org/document/9755891/,Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach,doi:10.1109/TSG.2022.3166791:2022,1.000,
30,144,Persak and Anjos. Decision-Focused Forecasting: A Differentiable Multistage Optimisation Architecture. arXiv:2405.14719. [https://arxiv.org/abs/2405.14719](https://arxiv.org/abs/2405.14719),https://arxiv.org/abs/2405.14719,,,2405.14719,200 https://arxiv.org/abs/2405.14719 -> https://arxiv.org/abs/2405.14719,Decision-Focused Forecasting: A Differentiable Multistage Optimisation Architecture,arxiv:2405.14719:2024,1.000,
31,145,"Yi, Alghumayjan, and Xu. Perturbed Decision-Focused Learning for Modeling Strategic Energy Storage. arXiv:2406.17085. [https://arxiv.org/abs/2406.17085](https://arxiv.org/abs/2406.17085)",https://arxiv.org/abs/2406.17085,,,2406.17085,200 https://arxiv.org/abs/2406.17085 -> https://arxiv.org/abs/2406.17085,Perturbed Decision-Focused Learning for Modeling Strategic Energy Storage,arxiv:2406.17085:2024,1.000,
32,146,Bhargava et al. When should we prefer Decision Transformers for Offline Reinforcement Learning? arXiv:2305.14550. [https://arxiv.org/abs/2305.14550](https://arxiv.org/abs/2305.14550),https://arxiv.org/abs/2305.14550,,,2305.14550,200 https://arxiv.org/abs/2305.14550 -> https://arxiv.org/abs/2305.14550,When should we prefer Decision Transformers for Offline Reinforcement Learning?,arxiv:2305.14550:2023,1.000,
33,147,Hugging Face. Decision Transformer model documentation. [https://huggingface.co/docs/transformers/model_doc/decision_transformer](https://huggingface.co/docs/transformers/model_doc/decision_transformer),https://huggingface.co/docs/transformers/model_doc/decision_transformer,,,,200 https://huggingface.co/docs/transformers/model_doc/decision_transformer -> https://huggingface.co/docs/transformers/model_doc/decision_transformer,,,0.000,
34,148,European Commission. Electricity market design. [https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en](https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en),https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en,,,,200 https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en -> https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en,,,0.000,
35,149,European Commission. EU electricity trading in the day-ahead markets becomes more dynamic. [https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en](https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en),https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en,,,,200 https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en -> https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en,,,0.000,
36,150,"NEURC. Resolution No. 621 of 23 April 2026 on price caps for the day-ahead, intraday, and balancing markets. [https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku](https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku)",https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku,,,,200 https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku -> https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku,,,0.000,
37,151,JSC Market Operator. The Market Operator tariff for 2026 amounts to UAH 6.88 per MWh. [https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english](https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english),https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english,,,,200 https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english -> https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english,,,0.000,
38,152,Open-Meteo. Forecast API documentation. [https://open-meteo.com/en/docs](https://open-meteo.com/en/docs),https://open-meteo.com/en/docs,,,,200 https://open-meteo.com/en/docs -> https://open-meteo.com/en/docs,,,0.000,
39,153,Open-Meteo. Historical Weather API documentation. [https://open-meteo.com/en/docs/historical-weather-api](https://open-meteo.com/en/docs/historical-weather-api),https://open-meteo.com/en/docs/historical-weather-api,,,,200 https://open-meteo.com/en/docs/historical-weather-api -> https://open-meteo.com/en/docs/historical-weather-api,,,0.000,
40,154,Ministry of Economy of Ukraine. The Government approved the National Energy and Climate Plan until 2030. [https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA](https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA),https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA,,,,200 https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA -> https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA,,,0.000,
41,155,Ukraine National Energy and Climate Plan to 2030. [https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf](https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf),https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf,,,,200 https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf -> https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf,,,0.000,
42,156,ENTSO-E. Continental Europe successful synchronization with Ukraine and Moldova power systems. [https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/](https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/),https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/,,,,200 https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/ -> https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/,,,0.000,
43,157,ACER. ACER will decide on the electricity market coupling integration plan for the Energy Community. [https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community](https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community),https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community,,,,200 https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community -> https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community,,,0.000,
44,158,European Commission. AI Act regulatory framework. [https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai](https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai),https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,,,,200 https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai -> https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,,,0.000,
45,159,Kumtepeli et al. Energy Arbitrage Optimization With Battery Storage: 3D-MILP for Electro-Thermal Performance and Semi-Empirical Aging Models. DOI: 10.1109/ACCESS.2020.3035504. [https://doi.org/10.1109/ACCESS.2020.3035504](https://doi.org/10.1109/ACCESS.2020.3035504),https://doi.org/10.1109/ACCESS.2020.3035504,,10.1109/ACCESS.2020.3035504 | 10.1109/ACCESS.2020.3035504 | 10.1109/ACCESS.2020.3035504,,200 https://doi.org/10.1109/ACCESS.2020.3035504 -> https://ieeexplore.ieee.org/document/9250459/,Energy Arbitrage Optimization With Battery Storage: 3D-MILP for Electro-Thermal Performance and Semi-Empirical Aging Models,doi:10.1109/ACCESS.2020.3035504:2020,1.000,
46,160,Cao et al. Deep Reinforcement Learning-Based Energy Storage Arbitrage With Accurate Lithium-Ion Battery Degradation Model. DOI: 10.1109/TSG.2020.2986333. [https://doi.org/10.1109/TSG.2020.2986333](https://doi.org/10.1109/TSG.2020.2986333),https://doi.org/10.1109/TSG.2020.2986333,,10.1109/TSG.2020.2986333 | 10.1109/TSG.2020.2986333 | 10.1109/TSG.2020.2986333,,200 https://doi.org/10.1109/TSG.2020.2986333 -> https://ieeexplore.ieee.org/document/9061038/,Deep Reinforcement Learning-Based Energy Storage Arbitrage With Accurate Lithium-Ion Battery Degradation Model,doi:10.1109/TSG.2020.2986333:2020,1.000,
47,161,Li and Becker. Day-ahead electricity price prediction applying hybrid models of LSTM-based deep learning methods and feature selection algorithms under consideration of market coupling. arXiv:2101.05249. [https://arxiv.org/abs/2101.05249](https://arxiv.org/abs/2101.05249),https://arxiv.org/abs/2101.05249,,,2101.05249,200 https://arxiv.org/abs/2101.05249 -> https://arxiv.org/abs/2101.05249,Day-ahead electricity price prediction applying hybrid models of LSTM-based deep learning methods and feature selection algorithms under consideration of market coupling,arxiv:2101.05249:2021,1.000,
48,162,Redhu and Bremdal. Day-Ahead Zonal Electricity Price Forecasting using 1D-LSTM with Neighbouring Zones Data. DOI: 10.1109/PowerTech55446.2023.10202771. [https://doi.org/10.1109/PowerTech55446.2023.10202771](https://doi.org/10.1109/PowerTech55446.2023.10202771),https://doi.org/10.1109/PowerTech55446.2023.10202771,,10.1109/PowerTech55446.2023.10202771 | 10.1109/PowerTech55446.2023.10202771 | 10.1109/PowerTech55446.2023.10202771,,200 https://doi.org/10.1109/PowerTech55446.2023.10202771 -> https://ieeexplore.ieee.org/document/10202771/,Day-Ahead Zonal Electricity Price Forecasting using 1D-LSTM with Neighbouring Zones Data,doi:10.1109/PowerTech55446.2023.10202771:2023,1.000,
49,163,Mascarenhas et al. Leveraging Asynchronous Cross-border Market Data for Improved Day-Ahead Electricity Price Forecasting in European Markets. arXiv:2507.13250. [https://arxiv.org/abs/2507.13250](https://arxiv.org/abs/2507.13250),https://arxiv.org/abs/2507.13250,,,2507.13250,200 https://arxiv.org/abs/2507.13250 -> https://arxiv.org/abs/2507.13250,Leveraging Asynchronous Cross-border Market Data for Improved Day-Ahead Electricity Price Forecasting in European Markets,arxiv:2507.13250:2025,1.000,
50,164,Nixtla. NeuralForecast exogenous variables and NBEATSx documentation. [https://nixtlaverse.nixtla.io/neuralforecast/docs/capabilities/exogenous_variables.html](https://nixtlaverse.nixtla.io/neuralforecast/docs/capabilities/exogenous_variables.html) and [https://nixtlaverse.nixtla.io/neuralforecast/models.nbeatsx.html](https://nixtlaverse.nixtla.io/neuralforecast/models.nbeatsx.html),https://nixtlaverse.nixtla.io/neuralforecast/docs/capabilities/exogenous_variables.html | https://nixtlaverse.nixtla.io/neuralforecast/models.nbeatsx.html,,,,200 https://nixtlaverse.nixtla.io/neuralforecast/docs/capabilities/exogenous_variables.html -> https://nixtlaverse.nixtla.io/neuralforecast/docs/capabilities/exogenous_variables.html || 200 https://nixtlaverse.nixtla.io/neuralforecast/models.nbeatsx.html -> https://nixtlaverse.nixtla.io/neuralforecast/models.nbeatsx.html,,,0.000,
51,165,Park et al. Linear Formulation for Short-Term Operational Scheduling of Energy Storage Systems in Power Grids. DOI: 10.3390/en10020207. [https://doi.org/10.3390/en10020207](https://doi.org/10.3390/en10020207),https://doi.org/10.3390/en10020207,,10.3390/en10020207 | 10.3390/en10020207 | 10.3390/en10020207,,403 https://doi.org/10.3390/en10020207 -> https://www.mdpi.com/1996-1073/10/2/207,Linear Formulation for Short-Term Operational Scheduling of Energy Storage Systems in Power Grids,doi:10.3390/en10020207:2017,1.000,
52,166,Augustine and Blair. Storage Futures Study: Storage Technology Modeling Input Data Report. NREL/TP-5700-78694. [https://www.nrel.gov/docs/fy21osti/78694.pdf](https://www.nrel.gov/docs/fy21osti/78694.pdf),https://www.nrel.gov/docs/fy21osti/78694.pdf,,,,200 https://www.nrel.gov/docs/fy21osti/78694.pdf -> https://docs.nlr.gov/docs/fy21osti/78694.pdf,,,0.000,
53,167,NREL. 2023 Annual Technology Baseline: Utility-Scale PV-Plus-Battery. [https://atb.nrel.gov/electricity/2023/residential_battery_storage/utility-scale_pv-plus-battery](https://atb.nrel.gov/electricity/2023/residential_battery_storage/utility-scale_pv-plus-battery),https://atb.nrel.gov/electricity/2023/residential_battery_storage/utility-scale_pv-plus-battery,,,,200 https://atb.nrel.gov/electricity/2023/residential_battery_storage/utility-scale_pv-plus-battery -> https://atb.nrel.gov/electricity/2023/residential_battery_storage/utility-scale_pv-plus-battery,,,0.000,
54,168,Amos and Kolter. OptNet: Differentiable Optimization as a Layer in Neural Networks. Proceedings of Machine Learning Research 70:136-145. [https://proceedings.mlr.press/v70/amos17a.html](https://proceedings.mlr.press/v70/amos17a.html),https://proceedings.mlr.press/v70/amos17a.html,,,,200 https://proceedings.mlr.press/v70/amos17a.html -> https://proceedings.mlr.press/v70/amos17a.html,,,0.000,
